p;k;vertices;edges;avg_insert;avg_extract;avg_decrease;avg_insert_r;avg_extract_r;avg_decrease_r;avg_time(microseconds)
0.2;54;128;3268.00;128.00;128.00;233.07;0.048307;0.750781;0.023381;164.80;
0.2;55;128;3268.00;128.00;128.00;232.50;0.051562;0.750130;0.023952;156.70;
0.2;56;128;3268.00;128.00;128.00;230.80;0.048177;0.758333;0.020471;156.60;
0.2;57;128;3268.00;128.00;128.00;227.27;0.053125;0.761458;0.021403;160.50;
0.2;58;128;3268.00;128.00;128.00;231.70;0.050911;0.756380;0.020293;162.77;
0.2;59;128;3268.00;128.00;128.00;231.33;0.046745;0.758984;0.022297;159.13;
0.2;60;128;3268.00;128.00;128.00;230.53;0.051172;0.752083;0.023008;165.93;
0.2;61;128;3268.00;128.00;128.00;227.77;0.044661;0.759375;0.022495;151.63;
0.2;62;128;3268.00;128.00;128.00;230.70;0.050000;0.760417;0.022691;162.30;
0.2;63;128;3268.00;128.00;128.00;230.23;0.050651;0.759505;0.022019;153.80;
0.2;64;128;3268.00;128.00;128.00;230.40;0.046094;0.758464;0.022564;162.73;
0.2;2;256;13202.00;256.00;256.00;640.17;0.144664;0.752420;0.099900;366.70;
0.2;3;256;13202.00;256.00;256.00;640.50;0.135605;0.798850;0.087227;346.30;
0.2;4;256;13202.00;256.00;256.00;643.03;0.126790;0.811523;0.074635;356.23;
0.2;5;256;13202.00;256.00;256.00;636.90;0.114139;0.776345;0.061815;360.57;
0.2;6;256;13202.00;256.00;256.00;646.03;0.109733;0.813021;0.058183;363.83;
0.2;7;256;13202.00;256.00;256.00;646.73;0.103581;0.823806;0.055886;379.80;
0.2;8;256;13202.00;256.00;256.00;639.83;0.092339;0.805338;0.049066;338.03;
0.2;9;256;13202.00;256.00;256.00;639.20;0.089670;0.790929;0.041664;360.87;
0.2;10;256;13202.00;256.00;256.00;643.63;0.089931;0.787370;0.039833;361.90;
0.2;11;256;13202.00;256.00;256.00;640.17;0.086849;0.784397;0.036804;384.43;
0.2;12;256;13202.00;256.00;256.00;650.73;0.086914;0.791515;0.034965;340.47;
0.2;13;256;13202.00;256.00;256.00;643.90;0.082964;0.802626;0.034267;369.53;
0.2;14;256;13202.00;256.00;256.00;641.43;0.076042;0.828646;0.033595;372.10;
0.2;15;256;13202.00;256.00;256.00;645.73;0.079666;0.864258;0.035486;393.93;
0.2;16;256;13202.00;256.00;256.00;642.03;0.075586;0.878711;0.036027;389.27;
0.2;17;256;13202.00;256.00;256.00;641.87;0.072656;0.875195;0.034582;343.53;
0.2;18;256;13202.00;256.00;256.00;642.67;0.074870;0.873372;0.032542;391.30;
0.2;19;256;13202.00;256.00;256.00;643.47;0.072591;0.869271;0.031260;345.03;
0.2;20;256;13202.00;256.00;256.00;643.53;0.071680;0.870247;0.030579;347.67;
0.2;21;256;13202.00;256.00;256.00;640.70;0.067969;0.861914;0.029208;348.17;
0.2;22;256;13202.00;256.00;256.00;642.33;0.065495;0.862109;0.028087;350.97;
0.2;23;256;13202.00;256.00;256.00;649.30;0.065039;0.857227;0.027069;353.87;
0.2;24;256;13202.00;256.00;256.00;641.30;0.062826;0.855599;0.025148;365.60;
0.2;25;256;13202.00;256.00;256.00;647.90;0.060872;0.857161;0.024707;377.20;
0.2;26;256;13202.00;256.00;256.00;637.53;0.059180;0.854362;0.024263;363.53;
0.2;27;256;13202.00;256.00;256.00;643.33;0.059831;0.851042;0.024881;364.63;
0.2;28;256;13202.00;256.00;256.00;645.33;0.057552;0.849154;0.022689;366.87;
0.2;29;256;13202.00;256.00;256.00;635.10;0.058984;0.842708;0.022565;372.40;
0.2;30;256;13202.00;256.00;256.00;643.73;0.052930;0.841862;0.021954;374.37;
0.2;31;256;13202.00;256.00;256.00;639.37;0.054297;0.840820;0.022345;367.03;
0.2;32;256;13202.00;256.00;256.00;639.57;0.056120;0.835352;0.020461;373.37;
0.2;33;256;13202.00;256.00;256.00;647.03;0.053971;0.837826;0.021455;371.10;
0.2;34;256;13202.00;256.00;256.00;638.80;0.050456;0.833333;0.020320;381.23;
0.2;35;256;13202.00;256.00;256.00;634.63;0.056250;0.827604;0.018851;372.70;
0.2;36;256;13202.00;256.00;256.00;636.47;0.050846;0.828320;0.019651;376.57;
0.2;37;256;13202.00;256.00;256.00;639.40;0.051953;0.824414;0.018226;375.17;
0.2;38;256;13202.00;256.00;256.00;642.20;0.049674;0.825326;0.017728;392.20;
0.2;39;256;13202.00;256.00;256.00;639.10;0.046029;0.819596;0.018956;385.87;
0.2;40;256;13202.00;256.00;256.00;639.97;0.048372;0.820638;0.018588;378.93;
0.2;41;256;13202.00;256.00;256.00;638.57;0.043750;0.812826;0.017529;385.20;
0.2;42;256;13202.00;256.00;256.00;647.50;0.045378;0.815300;0.017234;382.13;
0.2;43;256;13202.00;256.00;256.00;642.93;0.045378;0.813021;0.016822;386.37;
0.2;44;256;13202.00;256.00;256.00;647.60;0.047656;0.809505;0.016636;389.80;
0.2;45;256;13202.00;256.00;256.00;645.73;0.047070;0.810026;0.015908;485.23;
0.2;46;256;13202.00;256.00;256.00;635.07;0.048893;0.807487;0.016035;388.30;
0.2;47;256;13202.00;256.00;256.00;640.07;0.044661;0.807227;0.015012;399.13;
0.2;48;256;13202.00;256.00;256.00;643.20;0.042057;0.806771;0.015867;387.50;
0.2;49;256;13202.00;256.00;256.00;645.83;0.042188;0.802930;0.015237;396.93;
0.2;50;256;13202.00;256.00;256.00;640.80;0.041797;0.800391;0.014481;394.03;
0.2;51;256;13202.00;256.00;256.00;636.03;0.042578;0.800586;0.015343;396.13;
0.2;52;256;13202.00;256.00;256.00;636.37;0.044010;0.801302;0.013229;396.97;
0.2;53;256;13202.00;256.00;256.00;638.17;0.043880;0.799479;0.014392;392.37;
0.2;54;256;13202.00;256.00;256.00;638.40;0.037826;0.799870;0.015249;401.87;
0.2;55;256;13202.00;256.00;256.00;644.77;0.040104;0.797852;0.014048;397.27;
0.2;56;256;13202.00;256.00;256.00;644.63;0.040104;0.795247;0.014019;398.53;
0.2;57;256;13202.00;256.00;256.00;640.20;0.041927;0.786979;0.012944;395.80;
0.2;58;256;13202.00;256.00;256.00;648.23;0.038281;0.794076;0.013543;397.03;
0.2;59;256;13202.00;256.00;256.00;639.70;0.039779;0.794596;0.012788;401.27;
0.2;60;256;13202.00;256.00;256.00;647.00;0.039844;0.785937;0.012706;409.07;
0.2;61;256;13202.00;256.00;256.00;637.13;0.036914;0.788997;0.014105;400.50;
0.2;62;256;13202.00;256.00;256.00;639.83;0.036719;0.788411;0.013148;408.97;
0.2;63;256;13202.00;256.00;256.00;644.63;0.036198;0.784505;0.013555;427.87;
0.2;64;256;13202.00;256.00;256.00;639.13;0.037305;0.787305;0.012003;473.60;
0.2;2;512;52547.00;512.00;512.00;1637.80;0.131159;0.787146;0.090413;1009.00;
0.2;3;512;52547.00;512.00;512.00;1649.97;0.119895;0.802527;0.073489;968.10;
0.2;4;512;52547.00;512.00;512.00;1647.47;0.110395;0.803406;0.062641;952.17;
